State,!,!=,%,%=,&,&&,(,),*,*=,+,++,+=,",",-,--,-=,->,.,/,/=,:,;,<,<<,<=,=,==,>,>=,>>,?,BOOL_CONSTANT,FLOAT_CONSTANT,IDENTIFIER,INT_CONSTANT,LOWER_THAN_ELSE,STRING_CONSTANT,[,],^,bool,break,continue,do,dyn,echo,else,float,for,fun,if,int,lambda,list,null,ret,string,type,var,while,{,|,||,},~,$end,anonFunc,arguments,assignment,bitwise_and,bitwise_or,bitwise_xor,block,breakStmt,call_access,comparison,continueStmt,decList,declaration,dowhileStmt,echoStmt,elements,equality,exprStmt,expression,factor,forInit,forStmt,funDecl,function,ifStmt,inTypeDecl,inTypeDeclList,logic_and,logic_or,optExpr,parameters,primary,program,returnStmt,shift,statement,term,ternary,typeDecl,typedVar,unary,varDecl,var_type,whileStmt
0,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,s18,s19,s16,,s13,,,s15,s21,s14,,s23,,s6,s22,,s20,s7,s17,s25,,,,s9,,60,,45,51,49,50,43,41,58,53,42,28,29,40,37,,52,34,44,56,,35,31,,36,,,48,47,,,59,27,38,54,33,55,46,30,,57,32,,39
1,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,r112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,r114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,r113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,r109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,r110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s61,,,,,,,s66,,,,s68,,,s64,,,,s63,,s67,s62,,s65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,
8,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,70,,,
9,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,72,,,
